AreaOfInterestID,longitude,latitude,AreaOfInterest
1229,-81.99778,26.88435,Jones Loop Rd Right-of-Way
262,-81.498767,29.322067,Lower Lake Louise
299,-81.76805,28.56774,"Minneola, Lake"
646,-82.070787,29.445669,Orange Creek Conservation Area
82,-81.80779,28.59104,"Cook, Lake"
480,-81.795,28.59511,"Wilson, Lake"
450,-81.16898,28.2585,Trout Lake
260,-81.73206,28.47921,Louisa Lake
652,-80.734946,27.896271,TM Goodwin-Broadmoor Marsh
394,-82.77925,27.8602,"Seminole, Lake"
1213,-81.517402,26.474916,Corkscrew Marsh
866,-80.375832,26.375758,Everglades WMA
675,-80.840025,26.396876,Rotenberger WMA
1320,-81.336885,27.36678,Peace Pond
58,-81.760767,26.7166,Caloosahatchee River
277,-81.6974,28.0161,"Mariam, Lake"
951,-81.880647,29.667662,Clearwater Lake
452,-81.66611,28.92014,"Umatilla, Lake"
1326,-81.712778,28.041667,"Idyl, Lake"
195,-81.82743,28.59072,"Hunt, Lake"
423,-81.838061,28.549368,"Stewart, Lake"
1212,-81.338811,28.932815,Blue Springs State Park Marsh
237,-81.50318,27.572486,"Lelia, Lake"
329,-81.54781,27.63263,"Olivia, Lake"
324,-84.98211,30.68538,Ocheesee Pond
100,-81.86024,28.55797,"David, Lake"
477,-86.15152,30.32691,Western Lake
1383,-80.251036,27.095399,Halpatiokee Regional Park Lakes
1365,-81.941353,26.705144,Yellow Fever Creek
1367,-80.690544,27.79862,Fellsmere Reservoir Area SGA
95,-81.909722,28.026389000000002,"Crystal, Lake"
446,-83.1198,30.03905,Townsend Lake
301,-82.00523,28.90099,"Miona, Lake"
50,-81.849674,29.143321,"Bryant, Lake"
674,-80.736136,26.382183,Holey Land WMA
307,-82.608617,28.285467,Moon Lake
879,-82.291421,27.266335,Myakka River SP Wetlands
109,-81.77284,29.42613,Delancey Lake
269,-81.232913,28.972607,"Macy, Lake"
1382,-82.452235,27.177049,Oscar Scherer Stae Park Lake
1384,-82.097934,26.439334,Sanibel River Slough
864,-81.690048,26.566358,Wild Turkey Strand Preserve
136,-81.8499,28.6095,"Emma, Lake"
1487,-80.540185,27.312941,Teague Hammock Preserve
1541,-81.906081,29.235738,"Charles, Lake"
1381,-81.824748,28.882454,Emeralda Marsh Conservation Area
661,-81.655726,28.888529,Pine Meadows Restoration Area
108,-81.93236,28.11231,"Deeson, Lake"
173,-82.16954,29.859424,Hampton Lake
1492,-81.061414,27.594667,Kissimmee Prairie Preserve
975,-82.49377458,28.11837279,"Saddleback, Lake"
1538,-81.560397,30.467622,William Sheffield
618,-81.825672,30.304444,Crystal Springs FMA
175,-81.404865,30.366364,Hanna Park FMA
1072,-81.56107986,27.86391183,"Easy, Lake"
1566,-80.342161,27.348528,St. Lucie River
461,-81.57455,27.90162,"Wales, Lake"
121,-81.7658,27.9863,Eagle Lake
1641,-81.476944,28.103446,Poinciana Ponds & Canals
1617,-84.0591,30.1571,Flint Rock Wildlife Mgmt Area Ephemeral Ponds
1614,-80.530554,26.933634,Dupuis Management Area
1606,-80.610891,27.679054,Ansin East Impoundment
1633,-87.255996,30.40516,Bayou Chico
1657,-81.734634,28.358137,Hilochee WMA
1613,-80.2909,26.85185,FWC Palm Beach County Shooting Sports Park
1612,-82.391225,30.217578,Osceola National Forest Ephemeral Ponds
397,-81.88745,26.975467,Shell Creek
359,-81.923383,26.985383,Prairie Creek
31,-82.484967,27.436733,Bill Evers Reservoir
1673,-87.215466,30.511716,Ferry Pass Pond
41,-81.712253,30.597828,Boggy Creek
